ID,En quelle année d'étude êtes vous ?,Quels outils gamifiés avez vous déjà utilisé ?,Comment évaluez-vous votre connaissance de Java?,Comment évaluez-vous votre compétence en tests logiciels ?,Comment évaluez-vous votre motivation à écrire des tests logiciels ?,Je voudrais utiliser ce système fréquemment.,Ce système est inutilement complexe.,Ce système est facile à utiliser.,J'aurais besoin du soutien d'un technicien pour être capable d'utiliser ce système.,Les différentes fonctionnalités de ce système sont bien intégrées.,Il y a trop d'incohérences dans ce système.,La plupart des gens apprendront à utiliser ce système très rapidement.,Ce système est très lourd à utiliser.,Je me suis senti·e très confiant·e en utilisant ce système.,J'ai eu besoin d'apprendre beaucoup de choses avant de pouvoir utiliser ce système.,Ennui,Stimulation,Frustration,Accomplissement,Fatigue,J'ai été distrait par le mode de jeu pendant que j'écrivais mes tests.,J'étais plus motivé à écrire des tests avec le mode de jeu que d'habitude.,Le système de mode de jeu m'incite à écrire plus de tests.,Mon engouement pour un système gamifié avec uniquement un mode de jeu diminuerait au file du temps (plusieurs semaines/mois/années) (sentiment de lassitude).,Les succès donnaient des objectifs clairs.,Le feedback des succès était suffisant pour connaitre mon avancement.,mode,Avoir des succès d'équipe vous a.,Dépendre des autres pour débloquer les succès vous a.,Savoir que vous deviez débloquer un palier pour permettre à vos coéquipiers d'accéder à des succès vous a.,Il y avait une ambiance de compétition dans l'équipe.
1,Master 1,Kahoot;Duolinguo;Wooclap;,Intermédiaire,Intermédiaire,3,3.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,4.0,5.0,4.0,5.0,5.0,solo,,,,
2,Master 1,Kahoot;Duolinguo;Github Achievements;,Avancé(e),Avancé(e),3,2.0,1.0,5.0,1.0,5.0,2.0,5.0,1.0,4.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,4.0,3.0,2.0,3.0,4.0,équipe,4.0,3.0,4.0,2.0
3,Master 1,Kahoot;Duolinguo;Github Achievements;,Intermédiaire,Avancé(e),4,3.0,2.0,4.0,2.0,4.0,1.0,4.0,3.0,3.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,4.0,4.0,4.0,5.0,5.0,équipe,5.0,5.0,5.0,3.0
4,Master 1,Kahoot;Duolinguo;,Intermédiaire,Novice,1,4.0,1.0,4.0,2.0,4.0,1.0,4.0,1.0,4.0,2.0,1.0,4.0,2.0,4.0,1.0,1.0,4.0,4.0,2.0,3.0,3.0,solo,,,,
5,Master 1,Duolinguo;Kahoot;,Intermédiaire,Novice,3,4.0,2.0,5.0,2.0,4.0,1.0,4.0,1.0,4.0,2.0,1.0,4.0,4.0,4.0,1.0,1.0,3.0,4.0,2.0,5.0,3.0,solo,,,,
7,Master 1,Github Achievements;,Intermédiaire,Novice,2,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,4.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,équipe,3.0,3.0,3.0,2.0
8,UES (passerelle),Github Achievements;Duolinguo;,Avancé(e),Avancé(e),3,3.0,1.0,4.0,1.0,4.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,4.0,5.0,2.0,5.0,5.0,solo,,,,
9,Master 1,Duolinguo;,Intermédiaire,Novice,4,3.0,2.0,3.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,équipe,2.0,2.0,1.0,3.0
10,Master 1,Duolinguo;,Avancé(e),Intermédiaire,3,4.0,2.0,4.0,3.0,4.0,1.0,4.0,2.0,3.0,2.0,1.0,3.0,4.0,3.0,2.0,1.0,4.0,4.0,3.0,4.0,3.0,équipe,2.0,2.0,5.0,2.0
11,Master 1,Kahoot;Duolinguo;,Avancé(e),Avancé(e),3,3.0,2.0,5.0,1.0,4.0,3.0,4.0,1.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,5.0,5.0,5.0,solo,,,,
12,Master 1,Duolinguo;Kahoot;,Avancé(e),Avancé(e),2,2.0,1.0,5.0,2.0,3.0,2.0,4.0,1.0,4.0,1.0,2.0,4.0,2.0,2.0,3.0,1.0,2.0,3.0,4.0,4.0,3.0,solo,,,,
13,Master 1,Kahoot;Wooclap;,Intermédiaire,Intermédiaire,4,3.0,1.0,4.0,2.0,4.0,1.0,5.0,1.0,4.0,4.0,2.0,3.0,1.0,4.0,1.0,2.0,3.0,4.0,2.0,4.0,5.0,solo,,,,
14,Master 1,Kahoot;Duolinguo;,Intermédiaire,Intermédiaire,3,2.0,1.0,5.0,2.0,5.0,1.0,5.0,1.0,4.0,1.0,2.0,4.0,1.0,5.0,1.0,1.0,3.0,2.0,5.0,4.0,4.0,équipe,4.0,4.0,4.0,1.0
